label,score,weight,width,color,mean
name,15,0.5,0.5,#6CC4A4,15
description,6,0.5,0.5,#6CC4A4,15
startDate,1,0.5,0.5,#6CC4A4,15
eventType,0,0.5,0.5,#E1514B,15
topic,0,0.5,0.5,#E1514B,15
contact,0,0.5,0.5,#E1514B,15
hostInstitution,0,0.5,0.5,#E1514B,15
endDate,0,0.5,0.5,#E1514B,15
location,0,0.5,0.5,#E1514B,15
url,14,0.3,0.5,#FEC574,15
keywords,7,0.3,0.5,#FEC574,15
acceptanceNotificationDate,0,0.3,0.5,#E1514B,15
capacity,0,0.3,0.5,#E1514B,15
accreditation,0,0.3,0.5,#E1514B,15
eligibility,0,0.3,0.5,#E1514B,15
targetAudience,0,0.3,0.5,#E1514B,15
deadline,0,0.3,0.5,#E1514B,15
spotlight,0,0.3,0.5,#E1514B,15
prerequisite,0,0.3,0.5,#E1514B,15
programme,0,0.3,0.5,#E1514B,15
alternateName,0,0.3,0.5,#E1514B,15
organizer,0,0.3,0.5,#E1514B,15
