label,score,weight,width,color,mean
name,15,0.5,0.5,#6CC4A4,15
description,6,0.5,0.5,#6CC4A4,15
topic,0,0.5,0.5,#E1514B,15
type,0,0.5,0.5,#E1514B,15
sameAs,0,0.5,0.5,#E1514B,15
legalName,0,0.5,0.5,#E1514B,15
url,14,0.3,0.5,#FEC574,15
keywords,7,0.3,0.5,#FEC574,15
logo,1,0.3,0.5,#6CC4A4,15
status,0,0.3,0.5,#E1514B,15
fundingModel,0,0.3,0.5,#E1514B,15
membershipCategory,0,0.3,0.5,#E1514B,15
memberOf,0,0.3,0.5,#E1514B,15
member,0,0.3,0.5,#E1514B,15
location,0,0.3,0.5,#E1514B,15
alternateName,0,0.3,0.5,#E1514B,15
contactPoint,0,0.3,0.5,#E1514B,15
