Property,Type,Descr,Cardin,Guideline,Vocab
legalName,Text,The official name of the organization (e.g. the registered company name).,One,Minimum,
contactPoint,ContactPoint,A contact point for a person or organization.,Many,Recommended,
location,Place or PostalAddress,"The location of the event, organization or action.",One,Recommended,
logo,URL or ImageObject,An associated logo.,One,Recommended,
member,Person or Organization,A member of an Organization or a ProgramMembership. Organizations can be members of organizations; ProgramMembership is typically for individuals.,Many,Recommended,
memberOf,ProgramMembership or Organization,An Organization (or ProgramMembership) to which this Person or Organization belongs.,Many,Recommended,
department,Organization,"A relationship between an organization and a department of that organization, also described as an organization.",Many,Optional,
dissolutionDate,Date,The date that this organization was dissolved.,One,Optional,
owns,OwnershipInfo or Products,Products owned by the organization or person.,Many,Optional,
parentOrganization,Organization,"The larger organization that this organization is a branch of, if any.",One,Optional,
subOrganization,Organization,A relationship between two organizations where the first includes the second (e.g. as a subsidiary).,Many,Optional,
